"";"name";"x"
"68";"Days Inn Brookings";1
"69";"Days Inn El Reno Ok";1
"73";"Days Inn North Columbia Ft. Jackson";1
"76";"Days Inn West Memphis";1
"78";"Discovery Inn";1
"82";"Econo Lodge Bellmawr";1
"85";"El Dorado Seaside Suites By Karisma - All Inclusive";1
"94";"Fairfield Inn and Suites By Marriott Idaho Falls";1
"107";"Haltom Inn";1
"112";"Hampton Inn Bloomington West";1
"113";"Hampton Inn Dublin";1
"116";"Hampton Inn New Orleans - Downtown";1
"117";"Hampton Inn Roanoke/salem";1
"120";"Harrah's Laughlin Hotel and Casino";1
"124";"Hilton Garden Inn Kauai Wailua Bay";1
"139";"Hotel Adler Cavalieri";1
"141";"Hotel Aura Sfo";1
"142";"Hotel Borgo Verde";1
"146";"Hotel Lavonia";1
"147";"Hotel Metropole";1
"150";"Hotel Roc Flamingo";1
"156";"Hyatt Centric Arlington";1
"164";"H��tel Sezz Paris";1
"165";"Ibis Wuerzburg City";1
"168";"Inter-hotel Orl��ans Nord";1
"169";"Inturotel Esmeralda Park";1
"170";"La Quinta Inn and Suites Hopkinsville";1
"177";"Lamothe House";1
"179";"Marriott Springhill Marina";1
"183";"Mercure Curitiba Golden Hotel";1
"184";"Microtel Inn By Wyndham Knoxville";1
"185";"Miramar Boutique Hotel";1
"191";"Old Wheeler Hotel";1
"199";"Quality Inn and Suites Big Rapids";1
"203";"Quality Inn Johnson City";1
"205";"Quality Inn Near Six Flags";1
"207";"Quality Suites Intercontinental Airport West";1
"216";"Residence Inn By Marriott Hartford Downtown";1
"227";"Springhill Suites By Marriott Sarasota Bradenton";1
"228";"Studio 6";1
"229";"Suburban Extended Stay of Memphis Bartlett";1
"238";"Super 8 Elko Nv";1
"239";"Super 8 Fort Collins";1
"245";"Super 8 Pittsburgh/monroeville";1
"6";"Americas Best Value Inn - Medical Center/airport";0
"19";"Bayside Resort Hotel";0
"34";"Candlewood Suites Huntersville";0
"36";"Castle Kona Reef";0
"46";"Comfort Inn Birmingham - Irondale";0
"49";"Comfort Inn Livermore";0
"63";"Days Inn & Suites Castle Rock";0
"72";"Days Inn Newton";0
"75";"Days Inn Warren";0
"86";"Elba Sara Beach & Golf Resort";0
"87";"Excellence Riviera Cancun - Adults Only - All Inclusive";0
"91";"Extended Stay America - Raleigh - Cary - Regency Parkway S";0
"102";"Gardena Terrace Inn";0
"106";"Greenstay Hotel and Suites";0
"122";"Hawthorn Suites Dayton North";0
